count,persona,type,title,url,channel,channel_url,firstSeen,lastSeen
9,combined2gamer2012,video,"Domino's App feat. Hatsune Miku: The ad that vanished from YouTube",/watch?v=V2RytpvQ9BA,"Nick Robinson (Babylonian)",/@babylonian,2025-06-05T07:06:24.808Z,2025-06-06T04:05:43.776Z
9,combined2gamer2012,video,"I'll Take the World's Worst Voice Recognition for a Hundred, Alex.",/watch?v=yDYjHBLwHkU,Funhaus,/@Funhaus,2025-05-27T05:06:52.510Z,2025-06-05T16:05:39.816Z
9,combined2gamer2012,video,"Jas Broke the Game - Game of Life 2 [Patreon Pick!]",/watch?v=UGzmxynrh0U,Stumpt,/@stumpt,2025-06-03T04:06:25.305Z,2025-06-06T09:05:38.900Z
9,combined2gamer2012,video,"Puyo Puyo Tetris 2 Shenanigans - Outtakes",/watch?v=cPI_5g-HRvc,"Scrubby Schoell",/@ScrubbySchoell,2025-06-02T20:54:24.491Z,2025-06-05T12:06:25.130Z
9,combined2gamer2012,video,"This Board Game Is Older Than Stonehenge",/watch?v=YmXsoWzLqb8,SciShow,/@SciShow,2025-06-04T02:06:23.904Z,2025-06-06T13:05:39.725Z
8,combined2gamer2012,short,"Making a block of perfectly clear ice",/shorts/t4klesoNObo,,,2025-05-27T15:16:47.741Z,2025-06-06T10:05:41.304Z
8,combined2gamer2012,short,"Raven trust",/shorts/0-Af_W1Sxy4,,,2025-05-31T04:15:40.837Z,2025-05-31T18:15:40.314Z
8,combined2gamer2012,short,"The most hilarious cat I've ever met",/shorts/yp40JudEONY,,,2025-05-28T06:16:49.701Z,2025-06-05T05:06:25.135Z
8,combined2gamer2012,short,"They are just bigger cats🐱#cat #cats #fyp #funny",/shorts/f31bgL8-iaI,,,2025-05-27T15:16:47.741Z,2025-05-29T21:16:27.637Z
8,combined2gamer2012,short,"When your cat has a thicc accent 🇫🇷😹🗣️#cat #pet #foryou #funny #animals",/shorts/uudmCuWpaQI,,,2025-05-28T00:16:48.208Z,2025-05-31T06:15:39.652Z
8,combined2gamer2012,short,"a HIDDEN game mechanic in Tetris... #tetris #shorts",/shorts/0PzvxSVX7ZY,,,2025-06-05T02:06:25.004Z,2025-06-06T07:05:39.517Z
8,combined2gamer2012,video,"Death Squared - #2 - Offensive Cubism (4 Player Gameplay)",/watch?v=P_ZDCEH6EBQ,Stumpt,/@stumpt,2025-05-28T03:16:47.466Z,2025-06-04T09:06:26.439Z
8,combined2gamer2012,video,"Roguelikes Are Getting Weird",/watch?v=_xYSQe9oq6c,"Design Doc",/@DesignDoc,2025-06-03T03:06:23.185Z,2025-06-06T12:05:39.892Z
8,combined2gamer2012,video,"The SECRET Mode of Puyo Puyo Champions",/watch?v=-qztB7M52YM,Schoell,/@SchoellScrub,2025-06-02T23:06:23.509Z,2025-06-04T05:06:23.295Z
8,combined2gamer2012,video,"Thinky Direct 2025 - Exclusive trailers and announcements for puzzle fans!",/watch?v=iXyyhQdlx-M,"Thinky Games",/@thinkygames,2025-06-04T03:06:27.935Z,2025-06-06T12:05:39.892Z
8,combined2gamer2012,video,"We Play The Witness with Jonathan Blow",/watch?v=jhEDARvLf90,"Giant Bomb",/@GiantBomb,2025-06-03T00:06:25.721Z,2025-06-04T12:06:24.258Z
7,combined2gamer2012,short,"Diamond vs Hammer",/shorts/3swYDn68qzo,,,2025-05-27T05:06:52.510Z,2025-05-28T06:16:49.701Z
7,combined2gamer2012,short,"She thinks I don't know she runs on it at night 😹 #cats #funnycat #ragdollcat #catwheel",/shorts/Gkn90Xj0n20,,,2025-05-27T09:16:46.485Z,2025-05-28T03:16:47.466Z
7,combined2gamer2012,short,"The World's Best Hot Cocoa",/shorts/JvrK7q_TRxs,,,2025-05-27T15:16:47.741Z,2025-05-31T02:15:38.966Z
